year,lab,harvest,scl_h,food_mt,total_landings,total_food
1950,Mariculture: animals,344255,344255,101019.42857142858,17693011,11002090.37809544
1950,Mariculture: plants,34636,34636,3463.6,17693011,11002090.37809544
1950,Wild fisheries,17314120,14197578.4,10897607.349524012,17693011,11002090.37809544
1951,Mariculture: animals,415080,415080,115003.60455486542,20050558,12544445.85107395
1951,Mariculture: plants,36286,36286,3628.6,20050558,12544445.85107395
1951,Wild fisheries,19599192,16071337.440000001,12425813.646519085,20050558,12544445.85107395
1952,Mariculture: animals,478740,478740,129478.95134575569,21955691,13628423.567572065
1952,Mariculture: plants,53426,53426,5342.6,21955691,13628423.567572065
1952,Wild fisheries,21423525,17567290.5,13493602.016226308,21955691,13628423.567572065
1953,Mariculture: animals,557672,557672,149345.6542443064,22112138,13774441.262674518
1953,Mariculture: plants,50324,50324,5032.4,22112138,13774441.262674518
1953,Wild fisheries,21504142,17633396.44,13620063.208430212,22112138,13774441.262674518
1954,Mariculture: animals,558129,558129,151826.87060041408,23779356,14948955.878511533
1954,Mariculture: plants,57526,57526,5752.6,23779356,14948955.878511533
1954,Wild fisheries,23163701,18994234.82,14791376.40791112,23779356,14948955.878511533
1955,Mariculture: animals,624999,624999,170906.68322981367,25191421,15793589.726859238
1955,Mariculture: plants,73510,73510,7351,25191421,15793589.726859238
1955,Wild fisheries,24492912,20084187.84,15615332.043629425,25191421,15793589.726859238
1956,Mariculture: animals,579817,579817,163997.2784679089,26803800,16907536.77745655
1956,Mariculture: plants,84190,84190,8419,26803800,16907536.77745655
1956,Wild fisheries,26139793,21434630.26,16735120.498988643,26803800,16907536.77745655
1957,Mariculture: animals,690465,690465,186863.58628934322,27219679,17043747.22266423
1957,Mariculture: plants,133109,133109,13310.9,27219679,17043747.22266423
1957,Wild fisheries,26396105,21644806.1,16843572.736374885,27219679,17043747.22266423
1958,Mariculture: animals,669013,669013,192024.426569893,27899374,17496617.003129717
1958,Mariculture: plants,132135,132135,13213.5,27899374,17496617.003129717
1958,Wild fisheries,27098226,22220545.32,17291379.076559823,27899374,17496617.003129717
